loc_id,total_fte,teacher_fte,student_count,students_per_teacher
0,213989.9,100882.02,1437279,14.25
1,50.81,33.6,466,13.87
2,109.84,43.42,717,16.51
3,413.99,167.4,2771,16.55
4,36.23,23.23,425,18.30
5,321.15,173.12,2809,16.23
6,191.25,79.42,1365,17.19
7,264.13,145.8,2198,15.08
8,402.97,208.86,2636,12.62
9,298.72,126.87,1873,14.76
10,187.68,76.73,1402,18.27
11,547.98,246.42,3672,14.90
12,250.22,107.8,1746,16.20
13,556.11,285.12,3835,13.45
14,109.99,55.75,887,15.91
15,273.77,151.47,2646,17.47
16,84.12,43.84,731,16.67
17,121.66,65.95,1006,15.25
18,852.83,424.65,6386,15.04
19,81.62,40.17,654,16.28
20,161.51,77.72,929,11.95
21,233.9,113.75,1662,14.61
22,137.87,74.09,1236,16.68
23,532.21,291,3920,13.47
24,465.1,175.78,4358,24.79
25,265.5,121.6,2363,19.43
26,250.86,100.6,1817,18.06
27,1330.99,597.01,7342,12.30
28,128.51,78.5,941,11.99
29,132.23,81.42,1134,13.93
30,1018.8,460.54,5166,11.22
31,169,79.48,1293,16.27
32,369.38,175.47,2135,12.17
33,211.53,122.78,1972,16.06
34,136.53,72.81,849,11.66
35,118.72,56,993,17.73
36,201.27,101.25,1566,15.47
37,229.13,114.73,1697,14.79
38,87.98,42.29,677,16.01
39,392.04,241.12,4443,18.43
40,433.43,172,3158,18.36
41,576.66,301.49,4613,15.30
42,50.08,37.34,624,16.71
43,125.96,58.55,744,12.71
44,453.98,222.32,3841,17.28
45,260.9,91.08,1496,16.43
46,138.88,57.23,938,16.39
47,450.27,207.03,3202,15.47
48,399.16,194.95,2584,13.25
49,186.79,93.55,1374,14.69
50,274.73,145.68,2225,15.27
51,115.74,57.97,806,13.90
52,275.28,145.29,2378,16.37
53,137.89,77.99,1246,15.98
54,211,104.73,1505,14.37
55,386.43,175.68,2300,13.09
56,266.36,95.83,1419,14.81
57,244.63,109.03,1814,16.64
58,206.99,107.35,1605,14.95
59,238.61,118.8,1774,14.93
60,155.58,80.72,1257,15.57
61,355.98,141.75,2626,18.53
62,315.59,150.84,2756,18.27
63,140.58,75.9,1161,15.30
64,188.86,96.73,1485,15.35
65,234.83,135.51,1776,13.11
66,264.87,132.06,1794,13.58
67,145.71,83.55,1310,15.68
68,346.87,165.01,2554,15.48
69,249.49,98.84,1642,16.61
70,194.78,112.06,1647,14.70
