loc_id,attendance_rate,not_chronically_absent,four_year_grad_rate,four_year_grads,four_year_dropout_rate,four_year_dropouts
0,0.91,0.69,0.82,94286,0.08,9378
1,0.92,0.8,0.98,50,,5
2,0.91,0.68,0.85,51,,5
3,0.89,0.58,0.83,176,0.12,26
4,0.93,0.8,0.89,32,,5
5,0.92,0.72,0.8,174,0.16,35
6,0.92,0.73,0.92,91,,5
7,0.9,0.66,0.66,140,0.14,29
8,0.94,0.82,0.89,177,0.06,11
9,0.92,0.74,0.84,112,0.08,11
10,0.94,0.83,0.94,88,,5
11,0.89,0.62,0.76,214,0.11,32
12,0.94,0.84,0.98,160,,5
13,0.92,0.73,0.65,263,0.09,35
14,0.98,0.9,0.89,90,,5
15,0.92,0.71,0.75,143,0.09,17
16,0.94,0.81,0.98,49,,5
17,0.92,0.75,0.98,63,,5
18,0.9,0.71,0.77,464,0.09,57
19,0.93,0.79,0.9,43,,5
20,0.91,0.68,0.76,51,,5
21,0.93,0.78,0.79,98,0.1,12
22,0.84,0.56,0.69,62,0.13,12
23,0.93,0.8,0.98,280,,5
24,0.92,0.83,0.4,450,0.19,215
25,0.92,0.74,0.7,137,0.12,23
26,0.92,0.76,0.82,138,0.07,11
27,0.95,0.89,0.98,637,,5
28,0.98,0.93,0.98,67,,5
29,0.93,0.8,0.92,84,,5
30,0.94,0.84,0.98,418,,5
31,0.92,0.8,0.85,98,,5
32,0.91,0.68,0.88,168,,5
33,0.94,0.84,0.98,119,,5
34,0.94,0.84,0.98,63,,5
35,0.91,0.71,0.82,60,0.18,13
36,0.93,0.73,0.81,102,0.11,14
37,0.98,0.98,0.92,101,,5
38,0.94,0.82,0.91,52,,5
39,0.98,0.9,0.95,288,,5
40,0.92,0.72,0.8,218,,5
41,0.94,0.86,0.93,330,,5
42,0.93,0.74,0.76,63,,5
43,0.94,0.84,0.75,54,,5
44,0.88,0.53,0.71,270,0.13,49
45,0.91,0.68,0.84,92,,5
46,0.94,0.84,0.88,60,,5
47,0.94,0.86,0.81,215,0.1,27
48,0.89,0.57,0.69,143,0.1,21
49,0.91,0.64,0.86,89,0.1,10
50,0.88,0.52,0.9,156,0.09,16
51,0.93,0.78,0.91,60,,5
52,0.91,0.69,0.88,158,0.07,13
53,0.91,0.69,0.98,98,,5
54,0.93,0.8,0.87,132,,5
55,0.92,0.76,0.94,183,,5
56,0.92,0.75,0.79,95,0.1,12
57,0.91,0.69,0.61,83,0.2,27
58,0.93,0.82,0.85,98,,5
59,0.87,0.55,0.86,141,0.07,12
60,0.92,0.76,0.98,94,,5
61,0.93,0.79,0.69,154,0.08,18
62,0.91,0.73,0.9,223,,5
63,0.91,0.68,0.76,60,,5
64,0.93,0.81,0.84,102,,5
65,0.93,0.78,0.93,126,,5
66,0.83,0.46,0.56,87,0.19,30
67,0.87,0.59,0.74,81,0.13,14
68,0.94,0.82,0.92,191,,5
69,0.92,0.75,0.87,117,,5
70,0.92,0.72,0.82,92,0.09,10
71,0.93,0.78,0.98,321,,5
72,0.93,0.76,0.88,148,,5
73,0.89,0.56,0.8,156,0.11,22
74,0.84,0.68,0.79,83,0.1,11
75,0.82,0.34,0.74,2764,0.17,618
76,0.93,0.83,0.98,217,,5
77,0.93,0.82,0.98,270,,5
78,0.91,0.68,0.72,99,0.17,23
79,0.93,0.78,0.94,145,,5
80,0.92,0.72,0.98,99,,5
81,0.98,0.93,0.98,243,,5
82,0.94,0.9,0.8,49,,5
83,0.9,0.7,0.79,136,0.07,12
84,0.92,0.75,0.98,217,,5
85,0.93,0.81,0.9,93,,5
86,0.95,0.87,0.79,55,,5
87,0.89,0.77,0.83,160,,5
88,0.93,0.8,0.98,124,,5
89,0.91,0.7,0.78,61,,5
90,0.91,0.67,0.78,77,,5
91,0.88,0.58,0.69,277,0.09,36
92,0.87,0.49,0.83,186,0.09,19
93,0.89,0.61,0.86,119,,5
94,0.9,0.74,0.81,267,0.06,20
95,0.94,0.87,0.98,758,,5
96,0.98,0.94,0.93,39,,5
97,0.92,0.78,0.87,202,,5
98,0.95,0.92,0.98,127,,5
99,0.92,0.72,0.9,36,,5
100,0.91,0.68,0.94,326,,5
101,0.95,0.88,0.95,160,,5
102,0.93,0.79,0.77,153,0.08,15
103,0.92,0.74,0.82,183,0.09,19
104,0.9,0.66,0.95,72,,5
105,0.87,0.53,0.69,256,0.12,46
106,0.92,0.71,0.84,193,0.09,21
107,0.92,0.74,0.91,290,,5
